class,mean,med,std,skew,kurt,contr,homog,dissi,energ
63,89.29,84.5,20.43981164296775,0.05752967496450756,0.8946850634985813,119.15555555555557,0.06864384513874207,8.933333333333334,0.08012336167697753
63,90.49,81.0,26.7919745446281,0.4473331420413498,1.0730522306360049,155.75555555555556,0.09006039077637189,9.955555555555556,0.07817359599705716
63,102.17,88.5,35.19433335069724,1.3158611915458236,1.3651144999387579,83.73333333333335,0.1308217227585324,6.977777777777779,0.07817359599705716
63,72.65,73.0,7.902373061302535,-0.2896616816398727,0.22027638782664044,80.7,0.14623569510310852,7.211111111111111,0.08351831321318282
63,66.8,66.5,5.984981202978001,0.18557051028453353,0.40917609257687393,45.75555555555556,0.16661880731694062,5.355555555555557,0.09026709338484402
63,75.49,68.0,29.740038668434845,8.931047658578088,2.957179202960524,199.1222222222222,0.09833095429798448,10.344444444444445,0.07934920476158722
63,74.54,74.0,10.181768019356953,1.8604034128953968,1.0030242016057997,120.1888888888889,0.14502126270600887,8.18888888888889,0.08534606386520675
63,70.63,70.5,9.950532649059546,-0.3464347809074182,0.19100575996815772,82.6,0.13951072264041325,7.088888888888889,0.0816496580927726
63,73.65,71.0,14.210823339975764,-0.5916171063052662,0.5630270716284228,263.3333333333333,0.060118550774814955,12.666666666666668,0.08050764858994132
63,64.4,63.0,8.37137981458254,1.2950395243009938,0.7452618327203206,56.277777777777786,0.20364342675331942,5.5,0.08748897637790902
63,80.16,78.0,13.470501104264828,4.414029536342929,1.6921772148807832,81.26666666666667,0.10724156780630223,7.177777777777778,0.08642416214502248
63,72.28,69.0,13.688009351253383,1.29961371109595,1.1073095937952713,166.17777777777778,0.10728334919093277,9.577777777777778,0.07973722274670736
63,73.86,69.0,17.6011476898525,4.527315151870491,1.932536787710829,326.96666666666675,0.11404140975632834,11.233333333333336,0.0842541716005728
63,69.74,68.5,9.58918140406156,0.22742199231259708,0.6657234101705553,124.22222222222224,0.1355341723894062,8.222222222222225,0.09026709338484402
63,66.34,64.5,10.541555862395265,3.814761059962546,1.5334103622935384,49.97777777777779,0.15798787337298886,5.622222222222222,0.08642416214502248
63,93.29,80.5,31.26860885936565,1.4221541611052748,1.4490971321148685,238.8,0.1254008392933793,11.244444444444445,0.07973722274670735
63,72.95,72.0,11.024858275733072,2.631307907269684,1.3954036614054837,126.83333333333334,0.13836152160962453,7.633333333333333,0.08713548411865624
63,72.67,71.0,13.124827617915598,4.273815084783517,1.7499089968141772,174.33333333333337,0.090184093189139,9.355555555555556,0.08606629658238704
63,69.99,67.0,16.15332473517449,4.087105816492997,1.820594667596213,199.20000000000005,0.10238588536512744,9.822222222222225,0.08050764858994135
63,99.12,75.0,47.931259111356546,0.040988370224994686,1.1263892089037784,753.2444444444446,0.09317696296160896,14.711111111111116,0.08050764858994135
63,108.52,75.0,65.50442427805928,-0.12846268608166556,1.1987640658731509,1683.2333333333336,0.12148512387436469,22.655555555555555,0.08240220541217404
63,78.31,76.5,11.58248246275383,3.6444886058596317,1.4890106047569753,167.22222222222226,0.10767170295109378,9.08888888888889,0.08314794192830982
63,78.26,74.0,13.779419436246215,2.349489931396187,1.4019026402283963,131.62222222222223,0.13581918984745908,9.044444444444444,0.08388704928078611
63,78.64,75.0,13.164740787421527,1.2521233461618886,1.19996410299697,108.42222222222225,0.10510817786232451,7.800000000000002,0.08050764858994135
63,83.66,78.0,18.53764817877392,5.761817461103416,2.03433693782025,191.3,0.11413734957928487,10.322222222222223,0.0812707713240433
63,85.11,81.5,27.927726366462412,3.2820918660646363,0.3928209289763302,827.0,0.06344183604775167,15.000000000000002,0.07777777777777778
63,74.19,71.0,12.693065035679917,1.7019763526225802,1.428169437630261,145.6555555555556,0.14555715110600015,8.255555555555556,0.08923543557893897
63,78.09,74.0,16.469423183584784,2.6172604181014005,1.5743144876732071,303.25555555555565,0.09576286776997986,11.966666666666669,0.08127077132404331
63,111.4,99.0,41.96331731405419,-0.5073273724287324,0.7754875540176394,262.7666666666667,0.04697806475099769,13.055555555555557,0.07617394000445604
63,80.5,78.5,12.681088281373961,3.9546907687548956,1.668528624214044,69.19999999999999,0.15759307758498367,6.133333333333334,0.08498365855987976
63,74.35,72.5,10.434917345144617,0.09295319106742905,0.6531370435188913,102.45555555555556,0.09909251868867328,7.944444444444445,0.08012336167697755
255,81.12,76.0,14.643961212732025,1.0128131595667034,1.1865995734473231,89.74444444444444,0.1160679917009203,7.544444444444444,0.08425417160057279
255,120.4,107.5,36.988376552641505,-0.22988712719779825,0.7847831286483008,425.3777777777778,0.07246820799486632,14.622222222222224,0.0812707713240433
255,153.49,156.5,34.31020110695943,-0.2923725048897916,-0.7550592239604543,817.5666666666667,0.048353429698944544,23.077777777777776,0.07617394000445604
255,147.8,146.0,21.079848196796867,-0.947065421771212,-0.06122701703700317,366.0333333333333,0.08254331109063104,13.700000000000001,0.07934920476158722
255,164.1,168.0,18.65288181488319,1.2522264808613874,-1.220228886951719,135.3888888888889,0.10454873927111309,9.144444444444444,0.07895928001973275
255,165.2,163.5,15.768322675541619,-0.4975210317874392,0.4253922338947596,256.26666666666665,0.10722995240606484,12.533333333333335,0.07737993487324511
63,77.34,75.0,10.899743116239025,1.1947109579299253,1.0393399443904001,40.47777777777779,0.24232199833531018,4.811111111111113,0.09329364235414815
63,71.74,71.0,8.619303916210404,0.17505806674895164,0.5591728482828405,61.766666666666666,0.10223743558758097,6.722222222222223,0.08642416214502248
63,76.71,74.5,15.070696732400929,12.316710226322341,2.673239689135974,197.16666666666669,0.10753309807418396,10.500000000000002,0.07817359599705717
63,76.75,78.0,10.621087514939324,-0.40765459664628834,0.05188987652888428,108.0888888888889,0.13495180319819777,7.933333333333333,0.08678055195451839
